slug,start_date,variant_name,base_price_inr,target_discounted_price_inr,proposed_discount_amount_inr,result_price_inr
summer-spiti,2026-05-09,Double Sharing,19500,19000,500,19000
summer-spiti,2026-05-09,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-05-09,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-05-16,Double Sharing,19500,19000,500,19000
summer-spiti,2026-05-16,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-05-16,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-05-23,Double Sharing,19500,19000,500,19000
summer-spiti,2026-05-23,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-05-23,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-05-30,Double Sharing,19500,19000,500,19000
summer-spiti,2026-05-30,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-05-30,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-06-06,Double Sharing,19500,19000,500,19000
summer-spiti,2026-06-06,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-06-06,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-06-13,Double Sharing,19500,19000,500,19000
summer-spiti,2026-06-13,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-06-13,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-06-20,Double Sharing,19500,19000,500,19000
summer-spiti,2026-06-20,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-06-20,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-06-27,Double Sharing,19500,19000,500,19000
summer-spiti,2026-06-27,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-06-27,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-07-04,Double Sharing,19500,19000,500,19000
summer-spiti,2026-07-04,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-07-04,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-07-11,Double Sharing,19500,19000,500,19000
summer-spiti,2026-07-11,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-07-11,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-07-18,Double Sharing,19500,19000,500,19000
summer-spiti,2026-07-18,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-07-18,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-07-25,Double Sharing,19500,19000,500,19000
summer-spiti,2026-07-25,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-07-25,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-08-01,Double Sharing,19500,19000,500,19000
summer-spiti,2026-08-01,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-08-01,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-08-08,Double Sharing,19500,19000,500,19000
summer-spiti,2026-08-08,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-08-08,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-08-15,Double Sharing,19500,19000,500,19000
summer-spiti,2026-08-15,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-08-15,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-08-22,Double Sharing,19500,19000,500,19000
summer-spiti,2026-08-22,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-08-22,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-08-29,Double Sharing,19500,19000,500,19000
summer-spiti,2026-08-29,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-08-29,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-09-05,Double Sharing,19500,19000,500,19000
summer-spiti,2026-09-05,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-09-05,Triple Sharing,18500,17500,1000,17500
summer-spiti,2026-09-12,Double Sharing,19500,19000,500,19000
summer-spiti,2026-09-12,Quad Sharing,17500,16500,1000,16500
summer-spiti,2026-09-12,Triple Sharing,18500,17500,1000,17500
