status,framer_item_id,framer_slug,framer_title,framer_trip_id,framer_base_price,supabase_trip_slug,supabase_trip_title,supabase_min_price,notes
invalid_trip_id,AwSVHAv2Z,"bali-8n9d","Bali 8N9D",4596d76a-c3bf-4555-97b4-656636225f98,24999,"","",,"trip_id not found in Supabase trips"
invalid_trip_id,F4cqId_Dp,"the-great-kashmir","The Great Kashmir",1234,39999,"","",,"trip_id not found in Supabase trips"
invalid_trip_id,k0ge9MUFO,"baku-without-shahdag","Baku without Shahdag",1d081900-96e7-491d-b30e-0f637476b40d,52999,"","",,"trip_id not found in Supabase trips"
invalid_trip_id,Vb_noMopE,"baku-with-shahdag","Baku with Shahdag",6c57d42d-e611-4f07-87a4-d01a56a35f62,57999,"","",,"trip_id not found in Supabase trips"
invalid_trip_id,jeTYE_wrk,"vietnam","Vietnam",2cd68b3f-bbae-41d4-93e6-b77f70119855,59999,"","",,"trip_id not found in Supabase trips"
mismatch,hKRa1Q4O1,"4x4-summer-spiti-expedition-6n7d","4x4 Summer Spiti Expedition (6N7D)",34cca5ba-6c43-4e0d-8e46-ea71e2f92ad5,29999,"4x4-summer-spiti-expedition-6n7d","4x4 Summer Spiti Expedition (6N7D)",32999,"base_price != supabase min(price)"
mismatch,eoBRtNlkT,"kedarnath-yatra","Kedarnath Yatra",524b7861-dd99-438e-b216-d5795d7a6488,9999,"kedarnath-yatra","Kedarnath Yatra",11999,"base_price != supabase min(price)"
invalid_trip_id,hOXAU4LUt,"do-dhaam","Do Dhaam",74497b7e-8d3d-49dc-afd5-c09c268d048d,16000,"","",,"trip_id not found in Supabase trips"
mismatch,R2q1WyNrJ,"teen-taal-with-gombo-ranjan","Teen Taal With Gombo Ranjan",8ef02e1d-7674-45d9-83f5-798ca544a4a6,15500,"teen-taal-with-gombo-ranjan","Teen Taal With Gombo Ranjan",19000,"base_price != supabase min(price)"
mismatch,wuFoP9YvI,"ladakh-leh-to-leh-with-turtuk","Leh-Leh With Turtuk 5N6D",a482be60-64c3-4018-95d3-7e1b798b4f20,16999,"ladakh-leh-to-leh-with-turtuk","Leh-Leh With Turtuk 5N6D",18999,"base_price != supabase min(price)"
mismatch,yTFolcmNr,"leh-leh-with-turtuk-6n7d","Leh-Leh with Turtuk 6N7D",977228fc-bbe9-4bf1-afe4-b1600683f041,18999,"leh-leh-with-turtuk-6n7d","Leh-Leh with Turtuk 6N7D",21999,"base_price != supabase min(price)"
mismatch,n16LW5aSo,"zanskar-valley-6n7d-tempo-traveller","Zanskar Valley 6N7D (Tempo Traveller)",af703852-3359-4b06-9dd0-0a8beaf98777,23999,"zanskar-valley-6n7d-tempo-traveller","Zanskar Valley 6N7D (Tempo Traveller)",25999,"base_price != supabase min(price)"
mismatch,sCMiM0irq,"manali-with-chandrataal-delhi-delhi","Manali with Chandrataal (Delhi-Delhi)",47662a86-692c-4bde-ae87-36836ff6661c,9999,"manali-with-chandrataal-delhi-delhi","Manali with Chandrataal (Delhi-Delhi)",11999,"base_price != supabase min(price)"
mismatch,i7ZEcYSBt,"spiti-biking","Spiti Biking",e3dc182c-c7af-4b8d-9dee-93fbe45e3e6d,18999,"spiti-biking","Spiti Biking",21999,"base_price != supabase min(price)"
mismatch,MPChBIFAe,"leh-to-leh-with-umling-la-hanle-tso-moriri","Leh to Leh with Umling La, Hanle & Tso Moriri",0cece9bf-b3e2-41d0-b15c-922bed9f9148,26999,"leh-to-leh-with-umling-la-hanle-tso-moriri","Leh to Leh with Umling La, Hanle & Tso Moriri",28999,"base_price != supabase min(price)"
mismatch,syE02dQzP,"ladakh-apricot-blossom","Ladakh Apricot Blossom",7cb3d6f0-8e24-47c4-9d1f-58b90d49ccd1,29999,"ladakh-apricot-blossom","Ladakh Apricot Blossom",,"no pricing rows in supabase"
mismatch,fKIljYZL3,"teen-taal","Teen Taal (Delhi-Delhi)",275f6339-b224-4724-91ec-73b168eb46e9,13999,"teen-taal","Teen Taal (Delhi-Delhi)",15499,"base_price != supabase min(price)"
mismatch,NSNGMstyM,"sangla-holi-special","Sangla Holi Special",983847ab-c3c5-4e0d-832f-e77455bbe048,12999,"sangla-holi-special","Sangla Holi Special",13999,"base_price != supabase min(price)"
mismatch,eU_vVKkLq,"spiti-valley-with-sangla-holi","Spiti Valley with sangla holi",c2fb1c7e-8b51-44ec-acd6-ce8cba39fe0b,18999,"spiti-valley-with-sangla-holi","Spiti Valley with sangla holi",19999,"base_price != supabase min(price)"
mismatch,CTs4tQRmn,"winter-spiti-expedition","Winter Spiti Expedition",8fd361e4-5e8f-44b7-9782-4ebda1df09a5,16999,"winter-spiti-expedition","Winter Spiti Expedition",17499,"base_price != supabase min(price)"
mismatch,N5ghFSm_E,"summer-spiti","Summer Spiti",beb600b6-ba94-4175-9d54-e40a5858d5e9,16499,"summer-spiti","Summer Spiti",17999,"base_price != supabase min(price)"
ok,rDVdhCduy,"sri-lanka","Sri Lanka",5f72df04-63af-46b0-82d3-f119558a6495,58499,"sri-lanka","Sri Lanka",58499,""
ok,LdCqEFFFc,"bali-with-nusa-gili-t","Bali with Nusa & Gili T",b88e7f52-3204-4411-bded-8fc36fa1d85f,69999,"bali-with-nusa-gili-t","Bali with Nusa & Gili T",69999,""
ok,hegknjsEt,"dubai","Dubai",1dc36c53-845f-4191-9874-760c4cb7b403,72499,"dubai","Dubai",72499,""
ok,JFPOu0QZf,"almaty","Almaty",e9f4c119-28aa-41d8-84ed-8607b9f99627,52999,"almaty","Almaty",52999,""
ok,bWcqTz07R,"japan","Japan",84c41d57-719e-4027-b418-64e6da678025,174999,"japan","Japan",174999,""
ok,ErvmDhozt,"thailand-full-moon-party","Thailand full moon party",0700ee34-e629-4a5c-846b-1d1c90f0183d,52999,"thailand-full-moon-party","Thailand full moon party",52999,""
ok,O1F9s8L1a,"thailand-songkran-festival","Thailand Songkran Festival",143d52f7-c64c-4554-8b46-041d0b43105f,52999,"thailand-songkran-festival","Thailand Songkran Festival",52999,""
