trip_type,slug,trip_title,start_date,variant_name,price_inr
international,almaty,Almaty,2026-03-12,Double Sharing,64999
international,almaty,Almaty,2026-04-02,Double Sharing,64999
international,baku-without-shahdag,Baku without Shahdag,2026-03-24,With Shahdag,57999
international,baku-without-shahdag,Baku without Shahdag,2026-03-24,Without Shahdag,52999
international,baku-without-shahdag,Baku without Shahdag,2026-04-17,With Shahdag,57999
international,baku-without-shahdag,Baku without Shahdag,2026-04-17,Without Shahdag,52999
international,baku-without-shahdag,Baku without Shahdag,2026-05-22,With Shahdag,57999
international,baku-without-shahdag,Baku without Shahdag,2026-05-22,Without Shahdag,52999
international,baku-without-shahdag,Baku without Shahdag,2026-05-29,With Shahdag,57999
international,baku-without-shahdag,Baku without Shahdag,2026-05-29,Without Shahdag,52999
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-04-24,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-05-01,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-05-08,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-05-15,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-05-22,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-05-29,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-06-05,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-06-12,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-06-19,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-06-26,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-07-03,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-07-10,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-07-17,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-07-24,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-07-31,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-08-07,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-08-14,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-08-21,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-08-28,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-09-04,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-09-11,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-09-18,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-09-25,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-10-02,Triple Sharing,18000
domestic,do-dhaam,Kedarnath With Badrinath 4N,2026-10-09,Triple Sharing,18000
international,dubai,Dubai,2026-03-28,Double Sharing,72499
international,georgia,georgia,2026-04-18,Double Sharing,64999
international,georgia,georgia,2026-05-16,Double Sharing,64999
international,georgia,georgia,2026-05-30,Double Sharing,64999
international,georgia,georgia,2026-06-13,Double Sharing,64999
international,georgia,georgia,2026-06-27,Double Sharing,64999
international,japan,Japan,2026-03-18,Double Sharing,169999
international,japan,Japan,2026-04-02,Double Sharing,169999
domestic,kedarnath-yatra,Kedarnath 3N,2026-04-24,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-04-24,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-04-24,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-01,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-01,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-01,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-08,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-08,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-08,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-15,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-15,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-15,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-22,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-22,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-22,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-29,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-29,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-05-29,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-05,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-05,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-05,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-12,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-12,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-12,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-19,Double Sharing,14000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-19,Quad Sharing,12000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-19,Triple Sharing,13000
domestic,kedarnath-yatra,Kedarnath 3N,2026-06-26,Double Sharing,14000
