slug,title,trip_id
summer-spiti,Summer Spiti,050d60da-2ce5-4e52-bfb8-d2fc89c10844
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),8b5ba1a4-0ead-43e5-a17f-c184fa02bc73
spiti-biking,Spiti Biking,03e941c8-c7ae-4067-a1bb-99094d7e3261
manali-with-chandrataal-delhi-delhi,Manali with Chandrataal (Delhi-Delhi),a02f4771-77fc-4e13-b623-9b406081f8e0
teen-taal,Teen Taal (Delhi-Delhi),c610583a-092e-44de-9d23-407a6afd4eb4
teen-taal-with-gombo-ranjan,Teen Taal With Gombo Ranjan,c6651d1b-7521-467e-a497-1c34f71ad881
zanskar-valley-6n7d-tempo-traveller,Zanskar Valley 6N7D (Tempo Traveller),28133450-11de-48db-a952-3edf37d16e97
kedarnath-yatra,Kedarnath Yatra,d44c9c51-b124-4d26-a159-f9f0f60b1371
ladakh-leh-to-leh-with-turtuk,Leh-Leh With Turtuk 5N6D,6bfe9b15-dff7-4aa1-9ffe-56c6c28b4754
leh-leh-with-turtuk-6n7d,Leh-Leh with Turtuk 6N7D,fddcece9-4aee-4cf0-9b59-40394fe3e8f3
leh-to-leh-with-umling-la-hanle-tso-moriri,"Leh to Leh with Umling La, Hanle & Tso Moriri",6628b0ad-fb93-4e0d-b586-516ae345a674
winter-spiti-expedition,Winter Spiti Expedition,1602a734-6b64-4883-90c9-b0557cb6eb47
spiti-valley-with-sangla-holi,Spiti Valley with sangla holi,d5717355-016f-4151-8fb9-cb8fcb782fa8
sangla-holi-special,Sangla Holi Special,6d43487a-364c-48d0-9354-607a65cdd82c
ladakh-apricot-blossom,Ladakh Apricot Blossom,e1846333-959b-4e19-be1f-c282ad6eac64
bali-with-nusa-gili-t,Bali with Nusa & Gili T,b3adf541-6154-4fc7-87f0-7268da3f0ec3
thailand-songkran-festival,Thailand Songkran Festival,62566861-20fc-4e2b-87fb-e2d2fb568bff
thailand-full-moon-party,Thailand full moon party,a9841a27-f07b-4ab2-817a-b8dbfc46fefc
almaty,Almaty,ba7826c0-981c-40b5-835c-3fbf123afb4a
sri-lanka,Sri Lanka,86fc0cda-b1c8-48b5-b974-4a02c0633108
dubai,Dubai,343faf3e-69d9-4770-a88e-c57fff921748
japan,Japan,145d75df-0f80-40f0-ba2f-25ba2bc3d2c3
