"slug","trip_id","title","type","rows","dates","vehicles","sharings","min_payable"
"summer-spiti","beb600b6-ba94-4175-9d54-e40a5858d5e9","Summer Spiti","domestic","72","24","","Double | Quad | Triple","16499"
"4x4-summer-spiti-expedition-6n7d","34cca5ba-6c43-4e0d-8e46-ea71e2f92ad5","4x4 Summer Spiti Expedition (6N7D)","domestic","4","1","Fortuner/Hilux | SUV - Innova Crysta/Jimny/Thar/Scorpio N","Double | Triple","29999"
"spiti-biking","e3dc182c-c7af-4b8d-9dee-93fbe45e3e6d","Spiti Biking","domestic","192","24","RE Himalayan (Dual Rider) | RE Himalayan (Solo Rider) | SIC (Seat in Coach) | Self Bike","Double | Triple","18999"
"manali-with-chandrataal-delhi-delhi","47662a86-692c-4bde-ae87-36836ff6661c","Manali with Chandrataal (Delhi-Delhi)","domestic","42","21","","Double | Triple","9999"
"teen-taal","275f6339-b224-4724-91ec-73b168eb46e9","Teen Taal (Delhi-Delhi)","domestic","42","21","","Double | Triple","13999"
"teen-taal-with-gombo-ranjan","8ef02e1d-7674-45d9-83f5-798ca544a4a6","Teen Taal With Gombo Ranjan","domestic","42","21","","Double | Triple","15500"
"zanskar-valley-6n7d-tempo-traveller","af703852-3359-4b06-9dd0-0a8beaf98777","Zanskar Valley 6N7D (Tempo Traveller)","domestic","44","22","","Double | Triple","23999"
"kedarnath-yatra","524b7861-dd99-438e-b216-d5795d7a6488","Kedarnath Yatra","domestic","78","26","","Double | Quad | Triple","9999"
"ladakh-leh-to-leh-with-turtuk","a482be60-64c3-4018-95d3-7e1b798b4f20","Leh-Leh With Turtuk 5N6D","domestic","306","51","RE Himalayan (Pillion) | RE Himalayan (Solo) | SIC (Seat in Coach)","Double | Triple","16999"
"leh-leh-with-turtuk-6n7d","977228fc-bbe9-4bf1-afe4-b1600683f041","Leh-Leh with Turtuk 6N7D","domestic","258","43","RE Himalayan (Pillion) | RE Himalayan (Solo) | SIC (Seat in Coach)","Double | Triple","18999"
"leh-to-leh-with-umling-la-hanle-tso-moriri","0cece9bf-b3e2-41d0-b15c-922bed9f9148","Leh to Leh with Umling La, Hanle & Tso Moriri","domestic","180","30","RE Himalayan (Pillion) | RE Himalayan (Solo) | SIC (Seat in Coach)","Double | Triple","26999"
"winter-spiti-expedition","8fd361e4-5e8f-44b7-9782-4ebda1df09a5","Winter Spiti Expedition","domestic","51","17","","Double | Quad | Triple","16999"
"spiti-valley-with-sangla-holi","c2fb1c7e-8b51-44ec-acd6-ce8cba39fe0b","Spiti Valley with sangla holi","domestic","2","1","","Double | Triple","18999"
"sangla-holi-special","983847ab-c3c5-4e0d-832f-e77455bbe048","Sangla Holi Special","domestic","3","1","","Double | Quad | Triple","12999"
"ladakh-apricot-blossom","7cb3d6f0-8e24-47c4-9d1f-58b90d49ccd1","Ladakh Apricot Blossom","domestic","60","6","RE Himalayan 411 (Dual Rider) | RE Himalayan 411 (Solo Rider) | RE Himalayan 450 (Dual Rider) | RE Himalayan 450 (Solo Rider) | SIT (Sit on Coach)","Double | Triple","20999"
"bali-with-nusa-gili-t","b88e7f52-3204-4411-bded-8fc36fa1d85f","Bali with Nusa & Gili T","international","1","0","","","69999"
"thailand-songkran-festival","143d52f7-c64c-4554-8b46-041d0b43105f","Thailand Songkran Festival","international","1","0","","","52999"
"thailand-full-moon-party","0700ee34-e629-4a5c-846b-1d1c90f0183d","Thailand full moon party","international","1","0","","","52999"
"almaty","e9f4c119-28aa-41d8-84ed-8607b9f99627","Almaty","international","1","0","","","52999"
"sri-lanka","5f72df04-63af-46b0-82d3-f119558a6495","Sri Lanka","international","1","0","","","58499"
"dubai","1dc36c53-845f-4191-9874-760c4cb7b403","Dubai","international","1","0","","","72499"
"japan","84c41d57-719e-4027-b418-64e6da678025","Japan","international","1","0","","","174999"
