trip_slug,trip_title,date,variant_name,sheet_transport_hint,base_price_supabase,early_bird_discount_supabase,payable_supabase,sheet_original_price,sheet_discounted_price,price_match_sheet,discount_match_sheet,early_bird_enabled,early_bird_label,notes
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),2026-03-26,Double Sharing,SUV - Innova Crysta/Jimny/Thar/Scorpio N,38000,4000,34000,36000,32000,no,yes,true,Early Bird Summer Sale,
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),2026-03-26,Double Sharing,SUV - Innova Crysta/Jimny/Thar/Scorpio N,36000,4000,32000,36000,32000,yes,yes,true,Early Bird Summer Sale,
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),2026-03-26,Triple Sharing,SUV - Innova Crysta/Jimny/Thar/Scorpio N,33000,3000,30000,33000,30000,yes,yes,true,Early Bird Summer Sale,
4x4-summer-spiti-expedition-6n7d,4x4 Summer Spiti Expedition (6N7D),2026-03-26,Triple Sharing,SUV - Innova Crysta/Jimny/Thar/Scorpio N,36000,3000,33000,33000,30000,no,yes,true,Early Bird Summer Sale,
baku-without-shahdag,Baku without Shahdag,2026-03-24,With Shahdag,,57999,0,57999,,,,,false,,variant not found in sheet map
baku-without-shahdag,Baku without Shahdag,2026-03-24,Without Shahdag,,52999,0,52999,,,,,false,,variant not found in sheet map
baku-without-shahdag,Baku without Shahdag,2026-04-17,With Shahdag,,57999,0,57999,,,,,false,,variant not found in sheet map
baku-without-shahdag,Baku without Shahdag,2026-04-17,Without Shahdag,,52999,0,52999,,,,,false,,variant not found in sheet map
baku-without-shahdag,Baku without Shahdag,2026-05-22,With Shahdag,,57999,0,57999,,,,,false,,variant not found in sheet map
baku-without-shahdag,Baku without Shahdag,2026-05-22,Without Shahdag,,52999,0,52999,,,,,false,,variant not found in sheet map
baku-without-shahdag,Baku without Shahdag,2026-05-29,With Shahdag,,57999,0,57999,,,,,false,,variant not found in sheet map
baku-without-shahdag,Baku without Shahdag,2026-05-29,Without Shahdag,,52999,0,52999,,,,,false,,variant not found in sheet map
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-03-26,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-03-26,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-03-26,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-04-24,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-04-24,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-04-24,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-05-01,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-05-01,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-05-01,Triple Sharing,,13000,2000,11000,13000,11000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-05-08,Double Sharing,,14000,2000,12000,14000,12000,yes,yes,true,Early Bird Summer Sale,
kedarnath-yatra,Kedarnath Yatra 3N4D - Normal Package,2026-05-08,Quad Sharing,,12000,2000,10000,12000,10000,yes,yes,true,Early Bird Summer Sale,
